DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV
2010-09-28,20818381,Yamauchi T,2010-09-05,Nat Genet,www.ncbi.nlm.nih.gov/pubmed/20818381,A genome-wide association study in the Japanese population identifies susceptibility loci for type 2 diabetes at UBE2E2 and C2CD4A-C2CD4B.,Type 2 diabetes,"4,470 Japanese ancestry cases, 3,071 Japanese ancestry controls","10,692 Japanese ancestry cases, 9,597 Japanese ancestry controls, 6,980 European ancestry cases, 8,615 European ancestry controls",15q22.2,15,62104190,"C2CD4B, C2CD4A",NPM1P47 - C2CD4B,ENSG00000259466,ENSG00000205502,,20885.0,59345.0,rs7172432-?,rs7172432,0.0,7172432,intergenic_variant,1.0,0.58,9e-14,13.045757490560677,,1.11,[1.08-1.14],Illumina [459359],N
2013-01-23,23137000,Lin HJ,2012-11-09,Ophthalmic Genet,www.ncbi.nlm.nih.gov/pubmed/23137000,Novel susceptibility genes associated with diabetic cataract in a Taiwanese population.,Cataracts in type 2 diabetes,"109 Han Chinese ancestry cases, 649 Han Chinese ancestry controls",,6p21.31,6,35354986,PPARD,PPARD,,,ENSG00000112033,,,rs7744392-G,rs7744392,0.0,7744392,intron_variant,0.0,NR,3e-06,5.522878745280337,,,,Illumina [517401],N
2013-01-23,23137000,Lin HJ,2012-11-09,Ophthalmic Genet,www.ncbi.nlm.nih.gov/pubmed/23137000,Novel susceptibility genes associated with diabetic cataract in a Taiwanese population.,Cataracts in type 2 diabetes,"109 Han Chinese ancestry cases, 649 Han Chinese ancestry controls",,16q21,16,57529759,CCDC102A,CCDC102A,,,ENSG00000135736,,,rs8052123-C,rs8052123,0.0,8052123,intron_variant,0.0,NR,5e-06,5.301029995663981,,,,Illumina [517401],N
2015-01-21,24974787,Meng W,2014-06-26,Eur J Pain,www.ncbi.nlm.nih.gov/pubmed/24974787,A genome-wide association study suggests an association of Chr8p21.3 (GFRA2) with diabetic neuropathic pain.,Neuropathic pain in type 2 diabetes,"572 European ancestry cases, 2,491 European ancestry controls",,8p21.3,8,21853920,"DOK2, GFRA2",GFRA2 - DOK2,ENSG00000168546,ENSG00000147443,,41563.0,54953.0,rs17428041-T,rs17428041,0.0,17428041,intergenic_variant,1.0,0.7092,2e-07,6.698970004336019,,1.49,[NR],"Affymetrix, Illumina [6494962] (imputed)",N
2015-01-21,24974787,Meng W,2014-06-26,Eur J Pain,www.ncbi.nlm.nih.gov/pubmed/24974787,A genome-wide association study suggests an association of Chr8p21.3 (GFRA2) with diabetic neuropathic pain.,Neuropathic pain in type 2 diabetes,"572 European ancestry cases, 2,491 European ancestry controls",,12p13.32,12,5284163,RP11-1038A11.3,LINC02443 - NTF3,ENSG00000256115,ENSG00000185652,,39964.0,147945.0,rs11615866-T,rs11615866,0.0,11615866,intergenic_variant,1.0,0.12,1e-06,6.0,,2.26,[NR],"Affymetrix, Illumina [6494962] (imputed)",N
2011-06-18,21647700,Below JE,2011-06-07,Diabetologia,www.ncbi.nlm.nih.gov/pubmed/21647700,"Genome-wide association and meta-analysis in populations from Starr County, Texas, and Mexico City identify type 2 diabetes susceptibility loci and enrichment for expression quantitative trait loci in top signals.",Type 2 diabetes,"837 Mexican American cases, 436 Mexican American controls","967 Mexican ancestry cases, 343 Mexican ancestry controls",9p23,9,10430602,PTPRD,PTPRD,,,ENSG00000153707,,,rs649891-C,rs649891,0.0,649891,intron_variant,0.0,0.35,6e-06,5.221848749616356,,,,Affymetrix [1829586] (imputed),N
2016-04-12,26629533,Meng W,2015-08-04,EBioMedicine,www.ncbi.nlm.nih.gov/pubmed/26629533,A Genome-wide Association Study Provides Evidence of Sex-specific Involvement of Chr1p35.1 (ZSCAN20-TLR12P) and Chr8p23.1 (HMGB1P46) With Diabetic Neuropathic Pain.,Neuropathic pain in type 2 diabetes,"470 European ancestry male cases, 491 European ancestry female cases, 2,021 European ancestry male controls, 1,239 European ancestry female controls",,1p35.1,1,33480230,"ZSCAN20, TLR12P",ZSCAN20,,,ENSG00000121903,,,rs35260355-T,rs35260355,0.0,35260355,intron_variant,0.0,0.16,4e-07,6.3979400086720375,,1.66,[1.37-2.02],"Affymetrix, Illumina [6906962] (imputed)",N
2016-04-12,26629533,Meng W,2015-08-04,EBioMedicine,www.ncbi.nlm.nih.gov/pubmed/26629533,A Genome-wide Association Study Provides Evidence of Sex-specific Involvement of Chr1p35.1 (ZSCAN20-TLR12P) and Chr8p23.1 (HMGB1P46) With Diabetic Neuropathic Pain.,Neuropathic pain in type 2 diabetes,"470 European ancestry male cases, 491 European ancestry female cases, 2,021 European ancestry male controls, 1,239 European ancestry female controls",,1p35.1,1,33480000,"ZSCAN20, TLR12P",ZSCAN20,,,ENSG00000121903,,,rs71647933-G,rs71647933,0.0,71647933,intron_variant,0.0,0.16,3e-07,6.522878745280337,(females),2.31,[1.68-3.17],"Affymetrix, Illumina [6906962] (imputed)",N
2016-04-12,26629533,Meng W,2015-08-04,EBioMedicine,www.ncbi.nlm.nih.gov/pubmed/26629533,A Genome-wide Association Study Provides Evidence of Sex-specific Involvement of Chr1p35.1 (ZSCAN20-TLR12P) and Chr8p23.1 (HMGB1P46) With Diabetic Neuropathic Pain.,Neuropathic pain in type 2 diabetes,"470 European ancestry male cases, 491 European ancestry female cases, 2,021 European ancestry male controls, 1,239 European ancestry female controls",,8q23.1,8,107059816,HMGB1P46,ABRA - HMGB1P46,ENSG00000174429,ENSG00000254146,,289572.0,113384.0,rs6986153-G,rs6986153,0.0,6986153,intergenic_variant,1.0,0.19,8e-07,6.096910013008056,(males),1.67,[1.34-2.08],"Affymetrix, Illumina [6906962] (imputed)",N
2017-09-20,28254843,Qi Q,2017-03-02,Diabetes,www.ncbi.nlm.nih.gov/pubmed/28254843,Genetics of Type 2 Diabetes in U.S. Hispanic/Latino Individuals: Results From the Hispanic Community Health Study/Study of Latinos (HCHS/SOL).,Type 2 diabetes,"2,499 Hispanic/Latino ancestry cases, 5,247 Hispanic/Latino ancestry controls",,3q21.1,3,123363551,ADCY5,ADCY5,,,ENSG00000173175,,,rs11717195-T,rs11717195,0.0,11717195,intron_variant,0.0,0.75,5e-06,5.301029995663981,,1.24,[1.13-1.36],Illumina [NR] (imputed),N
